Designator,Mid X,Mid Y,Rotation,Layer
_4,85.725,-66.675,0.0,top
_3,104.775,-85.725,0.0,top
_2,64.29375,-47.625,0.0,top
,64.29375,-104.775,0.0,top
D1,85.725,-57.15,90.0,bottom
D2,104.775,-57.15,90.0,bottom
D3,123.825,-57.15,90.0,bottom
D4,85.725,-76.2,90.0,bottom
D5,104.775,-76.2,90.0,bottom
D6,123.825,-76.2,90.0,bottom
D7,85.725,-95.25,90.0,bottom
D8,104.775,-95.25,90.0,bottom
D9,123.825,-95.25,90.0,bottom
S1,76.2,-54.985,0.0,top
S2,95.25,-54.985,0.0,top
S3,114.3,-54.985,0.0,top
S4,76.2,-74.035,0.0,top
S5,95.25,-74.035,0.0,top
S6,114.3,-74.035,0.0,top
S7,76.2,-93.085,0.0,top
S8,95.25,-93.085,0.0,top
S9,114.3,-93.085,0.0,top
U1,142.39875,-64.29375,0.0,top
